price,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,availability_30,host_is_superhost,host_since,number_of_reviews,review_scores_rating,amenities,host_experience_years,amenities_list,amenities_count
64.0,Schöneberg-Nord,Tempelhof - Schöneberg,52.49376,13.36408,Private room,29,t,2010-07-06,37,4.74,"[""Dishes and silverware"", ""Bed linens"", ""Cleaning available during stay"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Refrigerator"", ""Hangers"", ""Wifi"", ""Dishwasher"", ""Cooking basics"", ""Smoking allowed"", ""Essentials"", ""Coffee maker"", ""Hair dryer"", ""Extra pillows and blankets"", ""Heating"", ""Hot water kettle"", ""Shared patio or balcony"", ""Dedicated workspace"", ""Kitchen"", ""Single level home"", ""Iron"", ""Wine glasses"", ""Free street parking"", ""Washer"", ""Stove"", ""Hot water"", ""Baking sheet"", ""Room-darkening shades"", ""Host greets you"", ""Private entrance"", ""Oven"", ""Dining table"", ""TV with standard cable"", ""Microwave""]",15.013698630136986,"['dishes and silverware', 'bed linens', 'cleaning available during stay', 'laundromat nearby', 'luggage dropoff allowed', 'long term stays allowed', 'refrigerator', 'hangers', 'wifi', 'dishwasher', 'cooking basics', 'smoking allowed', 'essentials', 'coffee maker', 'hair dryer', 'extra pillows and blankets', 'heating', 'hot water kettle', 'shared patio or balcony', 'dedicated workspace', 'kitchen', 'single level home', 'iron', 'wine glasses', 'free street parking', 'washer', 'stove', 'hot water', 'baking sheet', 'room-darkening shades', 'host greets you', 'private entrance', 'oven', 'dining table', 'tv with standard cable', 'microwave']",36
51.0,südliche Luisenstadt,Friedrichshain-Kreuzberg,52.4987,13.44041,Private room,29,f,2010-10-27,206,4.52,"[""Bathtub"", ""Dishes and silverware"", ""Bed linens"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Wifi"", ""Dishwasher"", ""Freezer"", ""Cooking basics"", ""Outlet covers"", ""First aid kit"", ""Essentials"", ""Coffee maker"", ""Hair dryer"", ""Extra pillows and blankets"", ""Heating"", ""Kitchen"", ""Free street parking"", ""Backyard"", ""Stove"", ""Smoke alarm"", ""Body soap"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Hot water"", ""Host greets you"", ""Oven"", ""TV with standard cable"", ""Microwave""]",14.704109589041096,"['bathtub', 'dishes and silverware', 'bed linens', 'laundromat nearby', 'luggage dropoff allowed', 'refrigerator', 'wifi', 'dishwasher', 'freezer', 'cooking basics', 'outlet covers', 'first aid kit', 'essentials', 'coffee maker', 'hair dryer', 'extra pillows and blankets', 'heating', 'kitchen', 'free street parking', 'backyard', 'stove', 'smoke alarm', 'body soap', 'room-darkening shades', 'children\\u2019s books and toys', 'hot water', 'host greets you', 'oven', 'tv with standard cable', 'microwave']",30
200.0,Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,52.51099,13.45642,Entire home/apt,0,t,2010-07-31,201,4.91,"[""Dryer"", ""Dishes and silverware"", ""Bed linens"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Refrigerator"", ""Hangers"", ""Wifi"", ""High chair"", ""Dishwasher"", ""Cooking basics"", ""Essentials"", ""Coffee maker"", ""Hair dryer"", ""Extra pillows and blankets"", ""Heating"", ""Dedicated workspace"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Paid parking off premises"", ""Washer"", ""Stove"", ""Hot water"", ""Host greets you"", ""Children\u2019s books and toys"", ""Crib"", ""Ethernet connection"", ""Oven"", ""TV with standard cable""]",14.945205479452055,"['dryer', 'dishes and silverware', 'bed linens', 'luggage dropoff allowed', 'long term stays allowed', 'refrigerator', 'hangers', 'wifi', 'high chair', 'dishwasher', 'cooking basics', 'essentials', 'coffee maker', 'hair dryer', 'extra pillows and blankets', 'heating', 'dedicated workspace', 'kitchen', 'pack \\u2019n play/travel crib', 'iron', 'paid parking off premises', 'washer', 'stove', 'hot water', 'host greets you', 'children\\u2019s books and toys', 'crib', 'ethernet connection', 'oven', 'tv with standard cable']",30
57.0,Neue Kantstraße,Charlottenburg-Wilm.,52.50469,13.29409,Entire home/apt,16,f,2010-10-17,21,4.81,"[""Bathtub"", ""Drying rack for clothing"", ""Shower gel"", ""Dishes and silverware"", ""Garden view"", ""Bed linens"", ""Cleaning available during stay"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Books and reading material"", ""Hangers"", ""Refrigerator"", ""Coffee"", ""High chair"", ""Shampoo"", ""Children\u2019s dinnerware"", ""Cleaning products"", ""Fast wifi \u2013 55 Mbps"", ""Cooking basics"", ""Fire extinguisher"", ""Essentials"", ""Coffee maker"", ""Blender"", ""Outdoor playground"", ""Hair dryer"", ""Extra pillows and blankets"", ""Heating"", ""Carbon monoxide alarm"", ""Hot water kettle"", ""Dedicated workspace"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Lake access"", ""Wine glasses"", ""Free street parking"", ""Clothing storage: wardrobe"", ""Hot water"", ""Body soap"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Baking sheet"", ""Free parking on premises"", ""Crib"", ""Shared backyard \u2013 Not fully fenced"", ""Host greets you"", ""Private entrance"", ""NEFF electric stove"", ""Oven"", ""Toaster"", ""Dining table"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""TV with standard cable"", ""Microwave""]",14.73150684931507,"['bathtub', 'drying rack for clothing', 'shower gel', 'dishes and silverware', 'garden view', 'bed linens', 'cleaning available during stay', 'luggage dropoff allowed', 'long term stays allowed', 'books and reading material', 'hangers', 'refrigerator', 'coffee', 'high chair', 'shampoo', 'children\\u2019s dinnerware', 'cleaning products', 'fast wifi \\u2013 55 mbps', 'cooking basics', 'fire extinguisher', 'essentials', 'coffee maker', 'blender', 'outdoor playground', 'hair dryer', 'extra pillows and blankets', 'heating', 'carbon monoxide alarm', 'hot water kettle', 'dedicated workspace', 'kitchen', 'pack \\u2019n play/travel crib', 'iron', 'lake access', 'wine glasses', 'free street parking', 'clothing storage: wardrobe', 'hot water', 'body soap', 'room-darkening shades', 'children\\u2019s books and toys', 'smoke alarm', 'baking sheet', 'free parking on premises', 'crib', 'shared backyard \\u2013 not fully fenced', 'host greets you', 'private entrance', 'neff electric stove', 'oven', 'toaster', 'dining table', 'free washer \\u2013 in unit', 'private patio or balcony', 'tv with standard cable', 'microwave']",56
95.0,südliche Luisenstadt,Friedrichshain-Kreuzberg,52.49612,13.42306,Entire home/apt,1,f,2010-09-08,35,4.71,"[""Heating"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Refrigerator"", ""TV"", ""Washer"", ""Wifi"", ""High chair""]",14.838356164383562,"['heating', 'dishes and silverware', 'kitchen', 'private patio or balcony', 'refrigerator', 'tv', 'washer', 'wifi', 'high chair']",9
186.0,Brunnenstr. Nord,Mitte,52.54059,13.40301,Entire home/apt,0,f,2010-12-08,16,4.75,"[""Bathtub"", ""Private sauna"", ""Drying rack for clothing"", ""Dishes and silverware"", ""City skyline view"", ""Bed linens"", ""Paid street parking off premises"", ""Outdoor dining area"", ""Books and reading material"", ""Hangers"", ""Refrigerator"", ""Park view"", ""Wifi"", ""42 inch HDTV with Netflix, premium cable"", ""Dishwasher"", ""Cleaning products"", ""Window guards"", ""Freezer"", ""Electric stove"", ""Cooking basics"", ""Essentials"", ""Coffee maker"", ""Ruark sound system with Bluetooth and aux"", ""Central heating"", ""Elevator"", ""Clothing storage: closet"", ""Kitchen"", ""Single level home"", ""Free washer"", ""Wine glasses"", ""Hot water"", ""Body soap"", ""Smoke alarm"", ""Baking sheet"", ""Host greets you"", ""Board games"", ""Oven"", ""Toaster"", ""Dining table"", ""Private patio or balcony"", ""Exercise equipment: elliptical""]",14.58904109589041,"['bathtub', 'private sauna', 'drying rack for clothing', 'dishes and silverware', 'city skyline view', 'bed linens', 'paid street parking off premises', 'outdoor dining area', 'books and reading material', 'hangers', 'refrigerator', 'park view', 'wifi', '42 inch hdtv with netflix', 'premium cable', 'dishwasher', 'cleaning products', 'window guards', 'freezer', 'electric stove', 'cooking basics', 'essentials', 'coffee maker', 'ruark sound system with bluetooth and aux', 'central heating', 'elevator', 'clothing storage: closet', 'kitchen', 'single level home', 'free washer', 'wine glasses', 'hot water', 'body soap', 'smoke alarm', 'baking sheet', 'host greets you', 'board games', 'oven', 'toaster', 'dining table', 'private patio or balcony', 'exercise equipment: elliptical']",42
62.0,Prenzlauer Berg Nordwest,Pankow,52.54994,13.406019,Private room,10,t,2010-12-07,122,4.95,"[""Drying rack for clothing"", ""Portable fans"", ""Shower gel"", ""Dishes and silverware"", ""City skyline view"", ""Bed linens"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Outdoor dining area"", ""Refrigerator"", ""Hangers"", ""Fast wifi \u2013 213 Mbps"", ""Shampoo"", ""Dishwasher"", ""Cleaning products"", ""Freezer"", ""Electric stove"", ""Conditioner"", ""Bidet"", ""Yamaha sound system with Bluetooth and aux"", ""Cooking basics"", ""55 inch HDTV with Amazon Prime Video, Apple TV, Netflix"", ""Essentials"", ""Free dryer \u2013 In building"", ""Extra pillows and blankets"", ""Hair dryer"", ""Central heating"", ""Hot water kettle"", ""Coffee maker: Nespresso, pour-over coffee"", ""Bread maker"", ""Self check-in"", ""Dedicated workspace"", ""Smart lock"", ""Kitchen"", ""Outdoor furniture"", ""Iron"", ""Paid parking off premises"", ""Wine glasses"", ""Free washer \u2013 In building"", ""Hot water"", ""Body soap"", ""Room-darkening shades"", ""Baking sheet"", ""Ethernet connection"", ""Oven"", ""Toaster"", ""Dining table"", ""Private patio or balcony"", ""Microwave""]",14.591780821917808,"['drying rack for clothing', 'portable fans', 'shower gel', 'dishes and silverware', 'city skyline view', 'bed linens', 'laundromat nearby', 'luggage dropoff allowed', 'long term stays allowed', 'outdoor dining area', 'refrigerator', 'hangers', 'fast wifi \\u2013 213 mbps', 'shampoo', 'dishwasher', 'cleaning products', 'freezer', 'electric stove', 'conditioner', 'bidet', 'yamaha sound system with bluetooth and aux', 'cooking basics', '55 inch hdtv with amazon prime video', 'apple tv', 'netflix', 'essentials', 'free dryer \\u2013 in building', 'extra pillows and blankets', 'hair dryer', 'central heating', 'hot water kettle', 'coffee maker: nespresso', 'pour-over coffee', 'bread maker', 'self check-in', 'dedicated workspace', 'smart lock', 'kitchen', 'outdoor furniture', 'iron', 'paid parking off premises', 'wine glasses', 'free washer \\u2013 in building', 'hot water', 'body soap', 'room-darkening shades', 'baking sheet', 'ethernet connection', 'oven', 'toaster', 'dining table', 'private patio or balcony', 'microwave']",53
143.0,Reuterstraße,Neukölln,52.49337,13.42555,Entire home/apt,14,t,2010-12-11,89,4.99,"[""Bathtub"", ""Canal view"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Bed linens"", ""Books and reading material"", ""Hangers"", ""Refrigerator"", ""Dishwasher"", ""Cleaning products"", ""49 inch HDTV with Amazon Prime Video, Disney+, Netflix"", ""Freezer"", ""Bose SoundLink Mini II Bluetooth sound system"", ""Cooking basics"", ""Essentials"", ""Coffee maker"", ""Blender"", ""Heating"", ""Carbon monoxide alarm"", ""Hot water kettle"", ""Waterfront"", ""Dedicated workspace"", ""Kitchen"", ""Iron"", ""Wine glasses"", ""Washer"", ""Fast wifi \u2013 104 Mbps"", ""Stove"", ""Smoke alarm"", ""Body soap"", ""Hot water"", ""Baking sheet"", ""Host greets you"", ""Oven"", ""Toaster"", ""Dining table"", ""Private patio or balcony"", ""Microwave""]",14.580821917808219,"['bathtub', 'canal view', 'drying rack for clothing', 'dishes and silverware', 'bed linens', 'books and reading material', 'hangers', 'refrigerator', 'dishwasher', 'cleaning products', '49 inch hdtv with amazon prime video', 'disney+', 'netflix', 'freezer', 'bose soundlink mini ii bluetooth sound system', 'cooking basics', 'essentials', 'coffee maker', 'blender', 'heating', 'carbon monoxide alarm', 'hot water kettle', 'waterfront', 'dedicated workspace', 'kitchen', 'iron', 'wine glasses', 'washer', 'fast wifi \\u2013 104 mbps', 'stove', 'smoke alarm', 'body soap', 'hot water', 'baking sheet', 'host greets you', 'oven', 'toaster', 'dining table', 'private patio or balcony', 'microwave']",40
84.0,Prenzlauer Berg Nord,Pankow,52.55004,13.41518,Entire home/apt,12,t,2010-07-11,425,4.63,"[""Bathtub"", ""Free dryer \u2013 In unit"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Bed linens"", ""Long term stays allowed"", ""Refrigerator"", ""Hangers"", ""Wifi"", ""High chair"", ""Cooking basics"", ""Essentials"", ""Coffee maker"", ""Hair dryer"", ""Extra pillows and blankets"", ""Smart lock"", ""Central heating"", ""Self check-in"", ""Kitchen"", ""Single level home"", ""Iron"", ""Paid parking off premises"", ""Stove"", ""Clothing storage: wardrobe"", ""Smoke alarm"", ""Hot water"", ""Oven"", ""Free washer \u2013 In unit"", ""Microwave""]",15.0,"['bathtub', 'free dryer \\u2013 in unit', 'drying rack for clothing', 'dishes and silverware', 'bed linens', 'long term stays allowed', 'refrigerator', 'hangers', 'wifi', 'high chair', 'cooking basics', 'essentials', 'coffee maker', 'hair dryer', 'extra pillows and blankets', 'smart lock', 'central heating', 'self check-in', 'kitchen', 'single level home', 'iron', 'paid parking off premises', 'stove', 'clothing storage: wardrobe', 'smoke alarm', 'hot water', 'oven', 'free washer \\u2013 in unit', 'microwave']",29
106.0,Prenzlauer Berg Nordwest,Pankow,52.5488,13.40425,Entire home/apt,0,t,2009-11-18,2,5.0,"[""Drying rack for clothing"", ""Dishes and silverware"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Refrigerator"", ""TV"", ""Hangers"", ""Wifi"", ""Dishwasher"", ""Cleaning products"", ""Freezer"", ""Cooking basics"", ""Coffee maker"", ""Extra pillows and blankets"", ""Heating"", ""Hot water kettle"", ""Dedicated workspace"", ""Kitchen"", ""Iron"", ""Gas stove"", ""Washer"", ""Clothing storage: wardrobe"", ""Smoke alarm"", ""Bose Bluetooth speaker sound system with Bluetooth and aux"", ""Hot water"", ""Ethernet connection"", ""Oven"", ""Toaster"", ""Dining table"", ""Microwave""]",15.643835616438356,"['drying rack for clothing', 'dishes and silverware', 'paid street parking off premises', 'long term stays allowed', 'refrigerator', 'tv', 'hangers', 'wifi', 'dishwasher', 'cleaning products', 'freezer', 'cooking basics', 'coffee maker', 'extra pillows and blankets', 'heating', 'hot water kettle', 'dedicated workspace', 'kitchen', 'iron', 'gas stove', 'washer', 'clothing storage: wardrobe', 'smoke alarm', 'bose bluetooth speaker sound system with bluetooth and aux', 'hot water', 'ethernet connection', 'oven', 'toaster', 'dining table', 'microwave']",30
